Menu_Item_ID,Customizable_Builds,Customizable_Build_ID,Year,Restaurant,Food_Category,Item_Name,Item_Description,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber,Calories_100g,Total_Fat_100g,Saturated_Fat_100g,Trans_Fat_100g,Cholesterol_100g,Sodium_100g,Potassium_100g,Carbohydrates_100g,Protein_100g,Sugar_100g,Dietary_Fiber_100g,Calories_text,Total_Fat_text,Saturated_Fat_text,Trans_Fat_text,Cholesterol_text,Sodium_text,Potassium_text,Carbohydrates_text,Protein_text,Sugar_text,Dietary_Fiber_text,Kids_Meal,Limited_Time_Offer,Regional,Shareable,Combo_Meal
25582,,,2008,White Castle,Beverages,"Crave Cooler Coke, Medium","Crave Cooler Coke, Crave Coolers, Beverages, Medium, 32 fl oz",32,,fl oz,,230,0,0,0,0,20,,63,0,62,0,25,0,0,0,0,2,,7,0,7,0,,,,,,,,,,,,0,0,0,0,0
25583,,,2008,White Castle,Beverages,"Crave Cooler Coke, Large","Crave Cooler Coke, Crave Coolers, Beverages, Large, 44 fl oz",44,,fl oz,,320,0,0,0,0,30,,87,0,86,0,26,0,0,0,0,2,,7,0,7,0,,,,,,,,,,,,0,0,0,0,0
25585,,,2008,White Castle,Beverages,"Crave Cooler Fanta Wild Cherry, Small","Crave Cooler Fanta Wild Cherry, Crave Coolers, Beverages, Small, 21 fl oz",21,,fl oz,,150,0,0,0,0,10,,41,0,41,0,25,0,0,0,0,2,,7,0,7,0,,,,,,,,,,,,0,0,0,0,0
25586,,,2008,White Castle,Beverages,"Crave Cooler Fanta Wild Cherry, Medium","Crave Cooler Fanta Wild Cherry, Crave Coolers, Beverages, Medium, 32 fl oz",32,,fl oz,,230,0,0,0,0,20,,62,0,62,0,25,0,0,0,0,2,,7,0,7,0,,,,,,,,,,,,0,0,0,0,0
25587,,,2008,White Castle,Beverages,"Crave Cooler Fanta Wild Cherry, Large","Crave Cooler Fanta Wild Cherry, Crave Coolers, Beverages, Large, 44 fl oz",44,,fl oz,,330,0,0,0,0,25,,86,0,86,0,26,0,0,0,0,2,,7,0,7,0,,,,,,,,,,,,0,0,0,0,0
25589,,,2008,White Castle,Beverages,"Chocolate Shake, Chicago Region, Small","Chocolate Shake, Chicago Region, Milkshakes, Beverages, Small, 21 fl oz",21,,fl oz,,390,45,3,0,15,280,,82,6,73,0,66,1,1,0,3,47,,14,1,12,0,,,,,,,,,,,,0,0,1,0,0
2559,,,2008,Papa Murphy's,Pizza,"Gourmet Chicken Bacon Artichoke DeLITE, Large Size Thin Crust Pizza","Gourmet Chicken Bacon Artichoke DeLITE, Large Size Thin Crust Pizza, Pizzas, 1 Slice",78,,g,"1 Slice, 1/10 Pizza",181,9,4,0,30,400,,131,115,1,5,232,12,5,0,38,513,,17,15,1,1,,,,,,,,,,,,0,0,0,0,0
25590,,,2008,White Castle,Beverages,"Chocolate Shake, Chicago Region, Medium","Chocolate Shake, Chicago Region, Milkshakes, Beverages, Medium, 32 fl oz",32,,fl oz,,600,7,45,0,20,430,,125,9,112,0,66,1,0,0,2,47,,14,1,12,0,,,,,,,,,,,,0,0,1,0,0
25591,,,2008,White Castle,Beverages,"Chocolate Shake, Chicago Region, Large","Chocolate Shake, Chicago Region, Milkshakes, Beverages, Large, 44 fl oz",44,,fl oz,,820,9,6,0,30,590,,172,13,154,0,66,1,0,0,2,47,,14,1,12,0,,,,,,,,,,,,0,0,1,0,0
25592,,,2008,White Castle,Beverages,"Vanilla Shake, Chicago Region, 10 fl oz","Vanilla Shake, Chicago Region, Milkshakes, 10 fl oz",10,,fl oz,,150,2,15,0,10,130,,31,3,27,0,53,1,1,0,4,46,,11,1,10,0,,,,,,,,,,,,0,0,1,0,0
