item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
45365,2018,45,9,720.0,49.0,8.5,0.0,85.0,1505.0,,62.0,32.0,5.0,7.0
45366,2018,45,9,820.0,49.0,8.5,0.0,85.0,1435.0,,64.0,32.0,6.0,6.0
45368,2018,45,9,820.0,49.0,9.0,0.0,85.0,1605.0,,64.0,32.0,8.0,4.0
45369,2018,45,9,820.0,49.0,9.0,0.0,85.0,1585.0,,63.0,32.0,11.0,4.0
45370,2018,45,9,640.0,27.5,12.0,0.0,85.0,2330.0,,62.0,36.0,6.0,6.0
45372,2018,45,9,640.0,27.5,12.5,0.0,85.0,2500.0,,62.0,36.0,8.0,4.0
45373,2018,45,9,640.0,27.5,12.5,0.0,85.0,2480.0,,61.0,36.0,11.0,4.0
45374,2018,45,9,630.0,27.5,12.0,0.0,85.0,2400.0,,60.0,36.0,5.0,7.0
45375,2018,45,9,770.0,33.5,14.0,0.0,135.0,1230.0,,60.0,58.0,6.0,6.0
45377,2018,45,9,770.0,33.5,14.5,0.0,135.0,1400.0,,60.0,58.0,8.0,4.0
45378,2018,45,9,770.0,33.5,14.5,0.0,135.0,1380.0,,59.0,58.0,11.0,4.0
45379,2018,45,9,760.0,33.5,14.0,0.0,135.0,1300.0,,58.0,58.0,5.0,7.0
45381,2018,45,9,710.0,31.0,13.5,0.0,105.0,2940.0,,65.0,43.0,8.0,4.0
45382,2018,45,9,710.0,31.0,13.5,0.0,105.0,2920.0,,64.0,43.0,11.0,4.0
45383,2018,45,9,700.0,31.0,13.0,0.0,105.0,2840.0,,63.0,43.0,5.0,7.0
45384,2018,45,9,690.0,33.5,13.5,1.0,75.0,2060.0,,64.0,44.0,6.0,10.0
45386,2018,45,9,690.0,33.5,14.0,1.0,75.0,2230.0,,64.0,34.0,8.0,8.0
45387,2018,45,9,690.0,33.5,14.0,1.0,75.0,2210.0,,63.0,34.0,11.0,8.0
45388,2018,45,9,680.0,33.5,13.5,1.0,75.0,2130.0,,62.0,44.0,5.0,11.0
45389,2018,45,9,830.0,47.5,20.0,0.0,90.0,1710.0,,65.0,36.0,5.0,8.0
45390,2018,45,9,710.0,31.0,13.0,0.0,105.0,2770.0,,65.0,43.0,6.0,6.0
45392,2018,45,9,830.0,47.5,20.5,0.0,90.0,1880.0,,65.0,36.0,7.0,6.0
45393,2018,45,9,830.0,47.5,20.5,0.0,90.0,1860.0,,64.0,36.0,10.0,6.0
45394,2018,45,9,820.0,47.5,20.0,0.0,90.0,1780.0,,63.0,36.0,4.0,9.0
45395,2018,45,9,700.0,29.0,12.5,0.0,140.0,2100.0,,68.0,45.0,10.0,6.0
